Week,Home,Away,HomeScore,AwayScore,Margin,Predicted_Prob,Correct,Vegas,Elo_Diff,QB_Diff,EPA_Diff,HomeRest,AwayRest,HomeTurnovers,AwayTurnovers,Regimes
4,LV,CLE,20.0,16.0,4.0,0.3436253438310765,False,2.5,-80.93690706429152,-27.07293392856218,-1.7225384712219238,7,7,1.0,1.0,"CLOSE_GAME,EARLY_SEASON"
4,BAL,BUF,35.0,10.0,25.0,0.9856559289898094,True,-2.5,-35.68329773409869,2.324605704904343,23.588454008102417,7,6,1.0,1.0,"CLOSE_GAME,EARLY_SEASON,MINOR_REST_ADVANTAGE"
4,MIA,TEN,12.0,31.0,19.0,0.27360385355854316,True,-2.5,154.6209998716538,43.4786943010663,-16.425464183092117,8,8,1.0,1.0,"CLOSE_GAME,EARLY_SEASON"
4,DET,SEA,42.0,29.0,13.0,0.8555532181186246,True,-3.5,48.95289717342462,23.83174082344317,5.321521282196045,8,8,0.0,2.0,"MEDIUM_SPREAD,EARLY_SEASON"
5,ATL,TB,36.0,30.0,6.0,0.6017345091870557,True,-2.5,-32.32740664964763,-17.337233102043,9.462042808532715,4,4,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON"
5,MIN,NYJ,23.0,17.0,6.0,0.9927812835145654,True,-2.5,92.31656183932841,39.42227626058707,6.132940769195557,7,7,2.0,3.0,"CLOSE_GAME,MID_SEASON"
5,CHI,CAR,36.0,10.0,26.0,0.9605233829369999,True,-4.0,36.055877213314034,0.608198343014692,23.98604941368103,7,7,0.0,3.0,"MEDIUM_SPREAD,MID_SEASON"
5,CIN,BAL,38.0,41.0,3.0,0.5854150756167558,False,2.5,-24.43320261881763,-19.349034199344032,-5.555994033813477,7,7,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON"
5,HOU,BUF,23.0,20.0,3.0,0.7478743784999371,True,-1.0,12.141766206285865,1.034145731966646,-2.995512008666992,7,7,2.0,0.0,"CLOSE_GAME,MID_SEASON"
5,JAX,IND,37.0,34.0,3.0,0.21824226391466092,False,-3.5,-73.54511941369287,-36.10316361408195,1.692525863647461,7,7,2.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON"
5,NE,MIA,10.0,15.0,5.0,0.791756510908851,False,2.0,4.73266182092425,-6.578669456867146,0.24406790733337402,7,6,0.0,1.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON,MINOR_REST_ADVANTAGE"
5,WAS,CLE,34.0,13.0,21.0,0.9971135742547629,True,-3.0,79.08537401270155,40.96662787626519,23.52787494659424,7,7,2.0,1.0,"MEDIUM_SPREAD,MID_SEASON"
5,DEN,LV,34.0,18.0,16.0,0.9484093625303004,True,-3.0,7.44850406950718,4.037759546284178,13.561430811882019,7,7,0.0,3.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON"
5,SF,ARI,23.0,24.0,1.0,0.6924377565470895,False,-7.0,44.460442432047785,20.702081635133254,-7.4111329317092896,7,7,3.0,1.0,"BLOWOUT_EXPECTED,DIVISION_GAME,MID_SEASON"
5,LA,GB,19.0,24.0,5.0,0.26036377285471757,True,3.0,-46.02968316859301,1.1202287337562211,-7.585374414920807,7,7,2.0,1.0,"MEDIUM_SPREAD,MID_SEASON"
5,SEA,NYG,20.0,29.0,9.0,0.9751851930342981,False,-7.0,77.05221174945336,38.389905718100636,-0.1440296173095703,6,10,1.0,1.0,"BLOWOUT_EXPECTED,MID_SEASON,MAJOR_REST_ADVANTAGE"
5,PIT,DAL,17.0,20.0,3.0,0.9384107847313217,False,-2.5,31.7780486422414,20.477093182480303,-5.961136817932129,7,10,1.0,3.0,"CLOSE_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE"
5,KC,NO,26.0,13.0,13.0,0.9940310296491157,True,-5.5,75.54012722609264,39.544334638648934,15.27773404121399,8,8,1.0,1.0,"MEDIUM_SPREAD,MID_SEASON"
6,SEA,SF,24.0,36.0,12.0,0.4026318296979323,True,3.5,32.701417725817464,18.89095189934642,-21.462395906448364,4,4,2.0,0.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON"
6,CHI,JAX,35.0,16.0,19.0,0.9533042217946214,True,1.5,70.11139534695053,34.56169150697815,10.226533770561218,7,7,1.0,2.0,"CLOSE_GAME,MID_SEASON"
6,BAL,WAS,30.0,23.0,7.0,0.48883767986530796,False,-6.5,-25.83646446689022,-16.572053491104953,2.784757375717163,7,7,1.0,0.0,"MEDIUM_SPREAD,MID_SEASON"
6,GB,ARI,34.0,13.0,21.0,0.8719709116898317,True,-5.5,51.87379332435739,1.7070910705533606,12.80172860622406,7,7,1.0,3.0,"MEDIUM_SPREAD,MID_SEASON"
6,NE,HOU,21.0,41.0,20.0,0.007372460796545765,True,6.5,-100.750396094905,-27.964537067221272,-21.084014892578125,7,7,4.0,1.0,"MEDIUM_SPREAD,MID_SEASON"
6,NO,TB,27.0,51.0,24.0,0.013179123524286844,True,3.5,-31.523225732635638,-7.56452366046301,-35.092031478881836,6,10,3.0,3.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE"
6,PHI,CLE,20.0,16.0,4.0,0.5004798698104013,True,-8.0,34.32446302222888,28.47378161970778,7.358496069908142,14,7,0.0,0.0,"BLOWOUT_EXPECTED,MID_SEASON,MAJOR_REST_ADVANTAGE"
6,TEN,IND,17.0,20.0,3.0,0.7235174977569486,False,-2.5,-9.657884977437789,-8.147134943294077,4.837882399559021,13,7,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE"
6,DEN,LAC,16.0,23.0,7.0,0.690100837915179,False,3.0,29.803788689680232,12.91839244750713,-7.067907810211182,7,14,2.0,0.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE"
6,LV,PIT,13.0,32.0,19.0,0.08761147483585803,True,3.5,-17.018573426579678,-8.503015602889263,-18.225590884685516,7,7,3.0,0.0,"MEDIUM_SPREAD,MID_SEASON"
6,CAR,ATL,20.0,38.0,18.0,0.05039498083328457,True,6.0,-77.34234464357883,-19.715305653750647,-23.986004948616028,7,10,2.0,1.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE"
6,DAL,DET,9.0,47.0,38.0,0.001283495682105031,True,3.5,-34.43756867935895,-7.972402888228771,-49.697994232177734,7,13,5.0,0.0,"MEDIUM_SPREAD,MID_SEASON,MAJOR_REST_ADVANTAGE"
6,NYG,CIN,7.0,17.0,10.0,0.39699733748196453,True,4.5,42.78352134502802,20.514313807703275,-13.023715734481812,7,7,1.0,1.0,"MEDIUM_SPREAD,MID_SEASON"
6,NYJ,BUF,20.0,23.0,3.0,0.33041460367381376,True,1.0,-36.40561498319903,-17.309744522591473,-4.944943815469742,8,8,1.0,0.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON"
7,NO,DEN,10.0,33.0,23.0,0.013240853628725239,True,2.5,-62.071666644759716,-12.365213065949774,-27.16682469844818,4,4,2.0,1.0,"CLOSE_GAME,MID_SEASON"
7,JAX,NE,32.0,16.0,16.0,0.5015905496573688,True,-6.5,-2.9825954627415285,-24.03179615470799,8.392968893051147,7,7,0.0,0.0,"MEDIUM_SPREAD,MID_SEASON"
7,ATL,SEA,14.0,34.0,20.0,0.3031316167426627,True,-3.0,58.946494889728,24.213320951124615,-13.249334573745728,7,10,3.0,0.0,"MEDIUM_SPREAD,MID_SEASON,MAJOR_REST_ADVANTAGE"
7,BUF,TEN,34.0,10.0,24.0,0.9583907985879163,True,-9.5,81.03161808896039,19.0772168322153,26.612390518188477,6,7,0.0,2.0,"BLOWOUT_EXPECTED,MID_SEASON,MINOR_REST_ADVANTAGE"
7,CLE,CIN,14.0,21.0,7.0,0.5292189346712315,False,5.5,-43.90715767565848,-20.179788371598534,-1.5274755954742432,7,7,2.0,0.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON"
7,GB,HOU,24.0,22.0,2.0,0.1936246017089822,False,-3.0,-27.779801594356968,-36.941764948756145,4.860368132591248,7,7,2.0,0.0,"MEDIUM_SPREAD,MID_SEASON"
7,IND,MIA,16.0,10.0,6.0,0.6619996585369894,True,-3.0,44.5269920811686,0.30837367911044566,5.768568992614746,7,14,1.0,2.0,"MEDIUM_SPREAD,MID_SEASON,MAJOR_REST_ADVANTAGE"
7,MIN,DET,29.0,31.0,2.0,0.8937981699606578,False,-1.0,27.712869816082275,17.363832398730892,-1.812085583806038,14,7,1.0,1.0,"CLOSE_GAME,DIVISION_GAME,MID_SEASON,MAJOR_REST_ADVANTAGE"
7,NYG,PHI,3.0,28.0,25.0,0.004146365024277393,True,3.0,-48.790921801225295,-27.33260315400844,-32.69619768857956,7,7,0.0,0.0,"MEDIUM_SPREAD,DIVISION_GAME,MID_SEASON"
7,LA,LV,20.0,15.0,5.0,0.09226369551701952,False,-7.0,-37.56196220614788,-18.05704039507782,8.897451639175415,14,7,1.0,4.0,"BLOWOUT_EXPECTED,MID_SEASON,MAJOR_REST_ADVANTAGE"
